bibid,feature
1037898,"รูปแบบการท่องเที่ยวเพื่อพัฒนาเศรษฐกิจจากความหลากหลายทางชีวภาพ สมุนไพร เจียวกู่หลานป่า ในจังหวัดพะเยาความหลากหลายทางชีวภาพ สมุนไพรเจียวกู่หลาน การท่องเที่ยว,Biodiversity, Wild Jiaogulan Herb and Tourism"
1040406,"ปัจจัยที่มีความสัมพันธ์ต่อพฤติกรรมการป้องกันการติดเชื้อเอชไอวีในกลุ่มชายที่มีเพศสัมพันธ์กับชาย จังหวัดราชบุรีFACTORS RELEATED TO HIV PREVENTION BEHAVIORS AMONG MEN WHO HAVE SEX WITH MEN IN RATCHABURI PROVINCE.ชายที่มีเพศสัมพันธ์กับชาย,ชายรักชาย,การป้องกันเอชไอวี,พฤติกรรมการป้องกัน,MSM,PREVENTION HIV,BEHAVIORS PREVENTION"
1040440,เทคโนโลยีการเก็บรักษาข้าวจาปอนิกาJaponica Rice Storage Technology
1040402,"การพัฒนาออนโทโลยีความรู้วัฒนธรรมผ้าทอกลุ่มชาติพันธุ์ไทยเขมรOntology Development for Cultural Knowledge of Thai-Khmer Textilesผ้าทอ,ผ้าทอกลุ่มชาติพันธุ์ไทยเขมร,ออนโทโลยีผ้าทอ,ออนโทโลยีความรู้วัฒนธรรมผ้าทอ,วัฒนธรรมผ้าทอกลุ่มชาติพันธุ์ไทยเขมร,การพัฒนาออนโทโลยี,ความรู้วัฒนธรรมผ้าทอ,Textiles,Thai-Khmer Textiles,Ontology Textiles,Ontology for Cultural Knowledge of Textiles,Cultural Knowledge of Thai-Khmer Textiles,Ontology Development,Cultural Knowledge of Textiles"
1040404,"การประยุกต์ใช้อัตราส่วนของไอโซโทปเสถียรร่วมกับเคโมเมตริกในการตรวจสอบการปลอมปนของน้ำมะพร้าวApplication of Isotope Ratio Mass Spectrometry and Chemometrics for Detection of Coconut Water Adulterationน้ำมะพร้าว,ปลอมปน,ไอโซโทปเสถียร,เคโมเมตริก,coconut water,adulteration,stable isotope,chemometrics"
1040418,"การออกแบบพหุประสาทสัมผัสความจริงเสมือนเพื่อบำบัดผู้ป่วยอัมพาตปัญหาหลอดเลือดสมองThe virtual reality multisensory design to therapy brain stroke patientsความจริงเสมือน,พหุประสาทสัมผัส,ผู้ป่วยอัมพาตหลอดเลือดสมอง,Virtual Reality,Multisensory,Virtual Reality,Multisensory,stroke patients"
1040420,"การพัฒนากระบวนการอบแห้งกากมันสำปะหลังด้วยเครื่องอบแห้งแบบลูกกลิ้งคู่Development of Drying Process for Cassava Pulp with Double Drum Dryerความชื้น,การอบแห้ง,กากมันสำปะหลัง, เครื่องอบแห้งแบบลูกกลิ้ง,Cassava pulp,Moisture content,Drying, Double drum dryer"
1040438,การพัฒนาพันธุ์ข้าวจาปอนิกาในเขตภาคเหนือResearch and Improvement of Japonica Rice for Northern Area
1040403,"การศึกษาศักยภาพและแนวทางการพัฒนาแหล่งอนุรักษ์ทางธรณีวิทยาซากดึกดำบรรพ์พื้นที่ป่าชุมชนท่ากระดาน จังหวัดกาญจนบุรี เพื่อพัฒนาเป็นแหล่งการเรียนรู้ชุมชนเชิงธรณีวิทยาTHE POTENTIAL AND DEVELOPMENT MODEL OF PALEONTOLOGICAL CONSERVATION SITE STUDY OF THAKADARN, KANCHANABURI, COMMUNITY FOREST FOR GEO - COMMUNITY LEARNINGแหล่งอันควรอนุรักษ์ทางธรณีวิทยา,แนวทางการพัฒนาที่ยั่งยืน,ซากดึกดำบรรพ์นอติลอยด์,อุทยานธรณี,sustainable development,geoparks,GGN,Global Geoparks Network"
1040419,"การเรียบเรียงบทเพลงพื้นบ้านอีสานพร้อมคู่มือสำหรับการสอนวงซิมโฟนิกระดับพื้นฐานและระดับกลางArrangingIsan&#39;s Music Repertoireand Training Kitfor Symphonic Band, Basic and Intermediate levelsเพลงพื้นบ้านอีสาน,วงซิมโฟนิก,เรียบเรียง,คู่มือการสอน,Isan music,Symphonic Band,Arrangemant,Training Kit"
1040421,"การจัดระบบของคาลานอยด์โคพีพอดสกุล Tropodiaptomus Kiefer, 1932 ในประเทศไทยSystematics of Genus Tropodiaptomus Kiefer, 1932 (Calanoida: Diaptomidae) in Thailandการจัดระบบ,คาลานอยด์โคพีพอด,ประเทศไทย,ลักษณะสัณฐานทางวิทยา,ข้อมูลเชิงชีวโมเลกุล,Systematics,Tropodiaptomidae,Thailand,Morphological characters,Molecular data"
1040437,"เทคโนโลยีการผลิตและอารักขาข้าวจาปอนิกาJaponica Rice Protection and Production Technologyจาปอนิกา, โรคไหม้, ผลผลิตสูง, คุณภาพการหุงต้ม, คุณภาพดี, ธาตุอาหาร, สารกำจัดวัชพืช, ศัตรูข้าว และวัชพืช Japonica rice, High yield, leaf blast disease, Good quality, Plant nutrition, Herbicide, Weed."
1026327,"การจัดการความรู้ที่ส่งผลต่อประสิทธิภาพในการบริหารจัดการน้ำชลประทานในพื้นที่ฝายเชียงรายการบริการจัดการน้ำ,คณะกรรมการบริหารจัดการน้ำ,การจัดการความรู้,water management,Joint Management Commuttee,knowledge management"
1026342,"ปัจจัยที่มีผลกระทบต่อคุณภาพสารสนเทศของระบบภูมิสารสนเทศ (การศึกษาการไฟฟ้าส่วนภูมิภาค)คุณภาพข้อมูล,ระบบสารสนเทศภูมิศาสตร์,ระบบจำหน่ายไฟฟ้า,การวิจัยเชิงปริมาณ,กฟภ,data quality management,GIS data,Delphi method,power distribution system,quantitative research,PEA"
1026343,"การพัฒนานโยบายสาธารณะการจัดการมลพิษสิ่งแวดล้อมในชุมชนและในบ้านพักอาศัย เพื่อป้องกันการเจ็บป่วยด้วยโรคไม่ติดต่อและส่งเสริมคุณภาพชีวิตของประชาชน ในจังหวัดสุรินทร์สิ่งแวดล้อมภายในบ้าน โรคไม่ติดต่อ เด็ก ผู้สูงอายุ,โรคไม่ติดต่อ,โรคภูมิแพ้,สารธาเลต,การจัดการสิ่งแวดล้อม,สิ่งแวดล้อมภายในบ้าน,สุขภาพเด็ก,non-communicable disease,allergy,phthalate,environmental management,household environment,childrens health"
1026427,"การพัฒนาชุมชนเศรษฐกิจหมุนเวียนเชิงบูรณาการด้วยนวัตกรรมการเชื่อมต่อระบบขนส่งทางน้ำระบบเศรษฐกิจหมุนเวียน,การเชื่อมต่อระบบคลอง,การท่องเที่ยวอย่างยั่งยืน,cicular economy,canal-rail connectivity,sustainable tourism"
1031674,"การยกระดับสินค้าจากการปรับเปลี่ยนลักษณะ คน งาน รูปแบบการจัดการ โดยนวัตกรรมตู้อบแห้งสองระบบสำหรับกลุ่มวิสาหกิจชุมชนแปรรูปผลผลิตทางการเกษตรของอำเภองาว จังหวัดลำปางตู้อบแห้งสองระบบ,ปรับเปลี่ยน,Hybrid Cabinet,changing"
1031676,"การเพิ่มศักยภาพการผลิตกาแฟโรบัสต้าเชิงอัตลักษณ์เพื่อพัฒนาอาชีพและสร้างรายได้สู่เกษตรกรกาแฟโรบัสต้า,ผลิตภัณฑ์เชิงอัตลักษณ์,กาแฟภาคใต้,รายได้,ความยั่งยืน,Robusta coffee,1) ใช้วิธีการอบรมเชิงฝึกปฏิบัติกับผู้เชี่ยวชาญ (วิทยากร) และคณะนักวิจัยที่เกี่ยวข้อง (อบรมในพื้นที่ชุมชนร่วมกับตัวแทนของ อบต.เขาชัยสนและบางส่วนจากความพร้อมในพื้นที่มหาวิทยาลัย)		 2) ใช้วิธีศึกษาดูงานต้นแบบเพื่อแลกเปลี่ยนเรียนรู้กับเกษตรกรหรือผู้ประกอบการในพื้นที่อื่นๆ ที่ประสบความสำเร็จ,Identity product,Southern coffee,Income,Sustainability"
1031677,"การถ่ายทอดเทคโนโลยีการผลิตผักอินทรีย์ระดับพรีเมียม และกระบวนการแปรรูปสินค้ามูลค่าเพิ่มจากผักการจัดการความรู้การวิจัยเพื่อการใช้ประโยชน์เชิงชุมชน สังคม,การผลิตผักปลอดภัย,การแปรรูปผัก,เกษตรยั่งยืน,มาตรฐานการผลิต,สินค้ามูลค่าเพิ่ม,Research knowledge management for community utilization,Safe vegetable production,Vegetable processing,Sustainable agriculture,Production standards,Value-added products"
1032710,กระบวนการขับเคลื่อนตลาดผลิตภัณฑ์ชุมชนเพื่อความเข้มแข็งเศรษฐกิจชุมชน เทศบาลตำบลตลาดแค อำเภอโนนสูง จังหวัดนครราชสีมา
1032713,การพัฒนาศูนย์เรียนรู้เพื่อรองรับสังคมสูงวัย อำเภอวารินชำราบ จังหวัดอุบลราชธานี
1036170,"การถ่ายทอดเทคโนโลยีการปลูกส้มบางมดในภาชนะเพื่อสนับสนุนการท่องเที่ยวโดยชุมชนส้มบางมด,การท่องเที่ยวโดยชุมชน,BangMod Orange,community based tourism"
1036238,กระบวนการขยายห่วงโซ่การผลิตโคเนื้อคุณภาพดีพื้นที่อำเภอหว้านใหญ่ จังหวัดมุกดาหาร
1036254,รูปแบบการพัฒนาศักยภาพช่างพลังงานเตาชีวมวลสำหรับครัวเรือนตำบลดงพยุง อำเภอดอนจาน จังหวัดกาฬสินธุ์
1036271,การจัดการท่องเที่ยวเพื่อการเรียนรู้จัดการขยะอย่างครบวงจร  โดยชุมชนตำบลหาดคำอำเภอเมือง  จังหวัดหนองคาย อย่างยั่งยืน
1036272,ชุดโครงการลดความเหลื่อมล้ำกลุ่มผู้ด้อยโอกาสและยากจน ในพื้นที่วิกฤติและห่างไกลของจังหวัดชายแดนภาคใต้
1036289,การบริหารจัดการชุมชนแบบมีส่วนร่วม สู่ชุมชนพึ่งตนเองบ้านน้อยบุตาวงษ์  ตำบลหนองคู อำเภอลำปลายมาศ  จังหวัดบุรีรัมย์
1036320,การพัฒนาระบบและกลไกเครือข่ายผกาละออในการป้องกัน แก้ไขปัญหาเครื่องดื่มแอลกอฮอล์ของกลุ่มเยาวชนและผู้ติดสุรา ตำบลท่าสว่าง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์
1036321,การพัฒนาเศรษฐกิจชุมชนบนฐานวัฒนธรรม : กรณีศึกษาชุมชนในเขตเทศบาลเมืองวารินชำราบ จังหวัดอุบลราชธานี
1036322,การเตรียมความพร้อมในการจัดการน้ำท่วมตำบลหนองกินเพล  โดยการมีส่วนร่วมของชุมชนและส่วนท้องถิ่น  อำเภอวารินชำราบ  จังหวัดอุบลราชธานี
1036323,การศึกษารูปแบบการบริหารจัดการองค์กรผู้ประกอบการช่างพลังงานทางเลือกชุมชน ตำบลชุมแสง ตำบลกระหาดและตำบลเมืองลีง อำเภอจอมพระ จังหวัดสุรินทร์
1036372,การจัดการท่องเที่ยวโดยชุมชน (ภูผาแง่ม มะค่ายักษ์พันปี) บ้านยาง  บ้านกกก้านเหลือง ตำบลท่าลี่ อำเภอท่าลี่  จังหวัดเลย
1036390,การพัฒนาตลาดสินค้าริมโขง เพื่อการอนุรักษ์ฟื้นฟูความหลากหลายของระบบนิเวศชุมชน ตำบลสำโรง อำเภอโพธิ์ไทร จังหวัดอุบลราชธานี
1036420,กระบวนการสร้างอัตลักษณ์ลายผ้าไหมของกลุ่มชาติพันธุ์กวยเพื่อเพิ่มมูลค่าผ้าไหมตำบลโพธิ์กระสังข์  อำเภอขุนหาญ  จังหวัดศรีสะเกษ
1036421,การศึกษาและพัฒนารูปแบบการประกอบกิจการแปรรูปถ่านไม้ของกลุ่มขยูงสอาด ตำบลตระแสง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์
1036423,การพัฒนาแหล่งเรียนรู้สมุนไพรพื้นถิ่นแบบครบวงจร ตำบลนาเสียว อำเภอเมือง จังหวัดชัยภูมิ
1040417,"ถอดรหัสปริศนาธรรมท้องถิ่นชุดกายนคร โรงมหรสพทางวิญญาณสะท้อนภาพสัญลักษณ์ การเปลี่ยนรูปความนัยภาษาแบบใหม่ของงานทัศนศิลป์ร่วมสมัยLocal Dhamma Decoding of Kayanakhon Series Spiritual Theater Reflecting Pictograph, and Recent Langue Change of Contemporary Visual Artsถอดรหัส,ปริศนาธรรมท้องถิ่น,กายนคร,โรงมหรสพทางวิญญาณ,สัญลักษณ์ทางปัญญา,การเปลี่ยนรูป,ทัศนศิลป์ร่วมสมัย,Decode,Docal Dhamma,Kayanakhon,Spiritual Theater,The Symbol of Intellect,Transformation,Contemporary Visual Arts"
1040434,การพัฒนานวัตกรรมผลิตภัณฑ์เภสัชโภชนภัณฑ์เพื่อบำรุงสายตาและชะลอการเสื่อมของจอประสาทตาสำหรับผู้สูงอายุจากสารรงควัตถุในพืชสมุนไพรDevelopment of Innovative Nutraceutical Product for Eyes Care and Prevention of Age-related Macular Degeneration for the Elderly from Pigments in Herbal Plants.
1009460,ระบบเสียงและการจัดกลุ่มทางเชื้อสายของภาษาไทบ้านภูแล่นช้าง ตำบลภูแล่นช้าง อำเภอนาคู จังหวัดกาฬสินธุ์
1009461,การปรับปรุงประสิทธิภาพทางพลังงานของเชื้อเพลิงจากหญ้าหลายฤดู
1009462,"<h3>ซิสเตมาติกส์และอนุกรมวิธานของหอยทากบกสกุล <em>Aegista, Thaitropis, Landouria </em>และ<em> Pseudobuliminus</em> ในประเทศไทย</h3>"
1009473,การพัฒนาผลิตภัณฑ์มาสก์หน้าจากสารสกัดส่วนเหนือดินของต้นดาวเรืองเพื่อรักษาสิวและสมานแผลที่เกิดจากสิว
1009468,<p>การพัฒนาโมเดลสิ่งแวดล้อมการเรียนรู้ตามแนวคอนสตรัคติวิสต์โดยใช้เกมมิฟิเคชันที่ส่งเสริมการกำกับตนเอง สำหรับนักศึกษาระดับปริญญาตรี</p>
1009573,ประสิทธิภาพของสารยับยั้งเอนไซม์ยูรีเอสและไนตริฟิเคชันจากพืชที่มีต่อกิจกรรมจุลินทรีย์และการเปลี่ยนรูปของปุ๋ยไนโตรเจนในดิน
1009475,การพัฒนารูปแบบการเรียนรู้บนเว็บแบบทีมวิเคราะห์ ที่ส่งเสริมความสามารถในการคิดวิเคราะห์ และการทำงานเป็นทีมสำหรับนักศึกษาระดับปริญญาตรี
1009574,ประสิทธิภาพของสารต้านอนุมูลอิสระในปลายข้าวต่อการเจริญเติบโตและคุณภาพเนื้อของไก่เนื้อ
1009570,การปรับปรุงกากมันแห้งด้วยกากสาโทเป็นอาหารแพะนม
1009467,การมุ่งเน้นความเป็นผู้ประกอบการและความได้เปรียบทางการแข่งขันส่งผลต่อผลการดำเนินงานของธุรกิจขนาดกลางและขนาดย่อม&nbsp;(SMEs)&nbsp;อุตสาหกรรมอาหารในจังหวัดนครราชสีมา
1009605,การเรียบเรียงเพลงไทยตามแนวทางการบรรเลงกู่เจิง
1009602,การสร้างสรรค์ทางเดี่ยวซอสามสายหลีบเชิงปฏิบัติการตามแนวทางครูจักรี มงคล
1009604,สำนักดนตรีบ้านบางม่วง จังหวัดนนทบุรี
1009609,รูปแบบการจัดการเพิ่มมูลค่า และคุณค่าหนังตะลุงภาคใต้ตามหลักปรัชญาของเศรษฐกิจพอพียง
1009606,การผลิตสายซอจากเส้นไนลอน ที่มีผลต่อคุณภาพเสียงของเครื่องดนตรี
1009618,<p>การปรับปรุงคุณภาพทางโภชนาการของเนื้อเทียม โดยเสริมแป้งถั่วขาวและแป้งแก่นตะวัน</p>
1009608,หลักสูตรพัฒนาคุณภาพชีวิตผู้สูงอายุในทศวรรษหน้า
1009469,<p>การพัฒนาวิธีการสกัดและเพิ่มการสร้างสารกลุ่มจูจูโบจินิน ไกลโคไซด์ และ ซูโดจูจูโบจินิน&nbsp;ไกลโคไซด์&nbsp; ด้วยวิธีการเพาะเลี้ยงเนื้อเยื่อพืชและการประยุกต์ใช้ถังปฏิกรณ์ชีวภาพในพรมมิ</p>
1009622,การพัฒนาค่าตอบแทนการทำงานในกฎหมายคุ้มครองแรงงานเพื่อรองรับประชาคมอาเซียน
1009620,พื้นที่และความหมายโฮมสเตย์เกาะยอเพื่อการท่องเที่ยวในบริบทพหุวัฒนธรรม
1009623,การพัฒนารูปแบบห้องเรียนกลับด้านด้วยกระบวนการเรียนรู้แบบสร้างสรรค์เป็นฐาน เพื่อส่งเสริมทักษะการสร้างสรรค์ผลงานของนักศึกษาด้านนิเทศศาสตร์ในระดับปริญญาตรี
1009627,"<p>ฤทธิ์ทางชีวภาพและการแยกสารสำคัญของพืชในป่าเต็งรัง: เสี้ยวป่า, ขว้าว, ขานาง และ เต็ง</p>"
1009624,การพัฒนารูปแบบการฝึกอบรมผ่านเว็บด้วยเทคโนโลยีมัลติมีเดียเชิงปฏิสัมพันธ์ตามแนวคอนสตรัคติวิสซึมเพื่อพัฒนาสมรรถนะด้านคอมพิวเตอร์และเทคโนโลยีของครูประจำการ
1009629,การพัฒนารูปแบบการเรียนรู้ผ่านเทคโนโลยีคลาวด์ ตามแนวคิดจินตวิศวกรรม เพื่อส่งเสริมความคิดสร้างสรรค์เชิงนวัตกรรม ของผู้เรียนระดับอุดมศึกษา
1009625,การวิเคราะห์พฤติกรรมที่เป็นมิตรต่อสิ่งแวดล้อมของผู้มาเยือนอุทยานแห่งชาติทางบกในประเทศไทย
1009634,องค์ประกอบอนินทรีย์ของดินตะกอน ในพื้นที่เลี้ยงหอยแครง อ่าวบ้านดอน จังหวัดสุราษฎร์ธานี
1009601,การพัฒนาตัวแบบสภาพความพร้อมและการยอมรับเทคโนโลยีดิจิทัลเพื่อมุ่งสู่การเป็นมหาวิทยาลัยราชภัฏดิจิทัลบนพื้นฐานดิจิทัลไทยแลนด์
1009638,องค์ประกอบของสารสี โปรตีน ฤทธิ์ทางชีวภาพ และการประยุกต์ใช้น้ำหมึกของปลาหมึกในน่านน้ำไทย
1009639,ผลของคลื่นอัลตราโซนิกและแรงดันไอน้ำในการปรับสภาพชานอ้อยด้วยสารเคมีที่มีผลต่อการผลิตน้ำตาลรีดิวซิ่งและก๊าซชีวภาพภายใต้การหมักแบบไม่ใช้อากาศที่อุณหภูมิสูง
1009603,สารัตถะที่ปรากฏในผลงานการสร้างสรรค์เพลงของอาจารย์ขุนอิน&nbsp; ณรงค์โตสง่า
1009640,การเลี้ยงไส้เดือนดินสายพันธุ์ด้วยมูลนกแอ่นกินรัง เพื่อผลิตปุ๋ยอินทรีย์
1009636,ผลกระทบของกระบวนการเพาะมอลท์ต่อการเปลี่ยนแปลงทางชีวเคมีในมอลท์ข้าวไทย
1009641,การสร้าง core germplasm ของข้าวไทยแบะการทำ catalogue ของยีนต้านทานโรคไหม้
1009619,อัตลักษณ์ชุมชนท่ามกลางการเปลี่ยนแปลงและการต่อสู้ดิ้นรนของชาวประมงพื้นบ้าน ริมฝั่งแม่น้้าบางนรา จังหวัดนราธิวาส
1009655,การศึกษาความทนเค็มของโปรโตคอร์มไลค์บอดี้และต้นอ่อนของกล้วยไม้สกุลหวาย 2 พันธุ์ ในสภาพปลอดเชื้อ
1009626,การยกระดับการรับรู้สภาพแวดล้อมและประสบการณ์ในการเรียนรู้ในเส้นทางศึกษาธรรมชาติของผู้มาเยือนอุทยานแห่งชาติของประเทศไทย
1009656,การสำรวจเฝ้าระวังโรคตอแคระแกร็นของอ้อย
1009628,การพัฒนารูปแบบการเรียนรู้โดยใช้การแก้ปัญหาอย่างสร้างสรรค์บนระบบนวัตกรรมการสอนอัจฉริยะ เพื่อพัฒนาทักษะความคิดสร้างสรรค์ของนักศึกษาระดับปริญญาตรี
1009657,การพัฒนาวิธีการปลูกเชื้อไวรัสเพื่อประเมินความสามารถในการก่อโรคใบหงิกเหลืองในพริก
1009635,ผลของการใช้ไมโครเวฟสุญญากาศและเอนไซม์แอลฟา-แอมิเลสต่อคุณภาพการหุงสุกและคุณภาพการบริโภคของข้าวที่มีปริมาณแอมิโลสสูง
1009658,ผลของการใช้รังสีแกมมาต่อการเจริญเติบโตและการเปลี่ยนแปลงทางสัณฐานวิทยาของกล้วยไม้ Anoectochilus และ Ludisia บางชนิดในสภาพปลอดเชื้อ
1009643,การนำเกษตรเชิงอนุรักษ์โดยการปลูกพืชตระกูลถั่วเป็นพืชคลุมดิน มาใช้ในระบบการปลูกข้าวเพื่อเพิ่มผลผลิต ความอุดมสมบูรณ์ของดิน และการควบคุมไส้เดือนฝอยศัตรูพืช
1009637,ชีววิทยาและประสิทธิภาพของไส้เดือนฝอยตัวห้ำในกลุ่ม Diplogasterida และ Mononchida ในการควบคุมไส้เดือนฝอยรากปม
1009645,ขนาดและรูปแบบของชิ้นส่วนกล้วยไข่เกษตรศาสตร์ 2 ที่เหมาะสมในการเพาะเลี้ยงเนื้อเยื่อ
1009642,การพัฒนาผลิตภัณฑ์คอนกรีตด้วยการผสมน้ำยางข้นเพื่อเป็นวัสดุสำหรับอาคารเขียว
1009672,ระบบนิเวศการเรียนรู้ดิจิทัลด้วยการเล่าเรื่องแบบดิจิทัลเพื่อพัฒนาความฉลาดทางอารมณ์ทางดิจิทัลของนักศึกษาวิชาชีพครู
1009652,การศึกษาผลของสารตัวเติมคาร์บอนนาโนทูป (CNT) ในวัสดุเชิงประกอบยางธรรมชาติเสริมแรงด้วยผ้าไหมที่ผ่านการวัลคาไนซ์ด้วยรังสีแกมมาต่อสมบัติการป้องกันการรบกวนจากคลื่นแม่เหล็กไฟฟ้า (EMI)
1009673,การพัฒนารูปแบบชุดบทเรียนเพื่อส่งเสริมการเรียนรู้ภาคปฏิบัติโดยใช้ปัญหาเป็นฐานแบบออนไลน์และแบบออฟไลน์ ที่มีระบบเสริมศักยภาพในการเรียนรู้
1009654,"การศึกษาชีววิทยาและปัจจัยสิ่งแวดล้อมที่มีผลต่อการอนุบาลกุ้งแรด Atyopsis moluccensis (De Haan, 1849)"
1009674,การจัดการความสัมพันธ์นักศึกษาด้วยแฟ้มกิจกรรมดิจิทัลโดยเทคโนโลยีอินเทอร์เน็ตเชื่อมโยงสรรพสิ่งเพื่อการเป็นมหาวิทยาลัยดิจิทัลที่มีการพัฒนาอย่างยั่งยืน
1009659,ผลของอุณหภูมิต่อรูปแบบโปรตีนและประสิทธิภาพในการต่อต้านเชื้อแบคทีเรีย ของน้ำเลือดหอยแครงและหอยนางรม
1009675,การพัฒนารูปแบบการบริหารจัดการกากอุตสาหกรรมสู่วิสาหกิจเพื่อสังคมของชุมชน
1009661,ผลของผลิตภัณฑ์อาหารเสริมซินไบโอติกต่อการส่งเสริมจุลินทรีย์ในลำไส้และหนูไตเสื่อมเรื้อรังซึ่งมีภาวะคั่งสารไนโตรเจน
1009688,การทำกลีเซอรอลบริสุทธิ์ที่ได้จากการผลิตไบโอดีเซลด้วยเทคนิคการรวมอนุภาคด้วยไฟฟ้า
1009668,การแยกด้วยเทคนิครวมอนุภาคด้วยไฟฟ้าของของผสม&nbsp;&nbsp;
1009689,ผลการเปรียบเทียบระหว่างการเดินจงกรมและการนวดต่อการไหลเวียนเลือดส่วนปลายและอาการเส้นประสาทส่วนปลายเสื่อมในผู้ที่มีภาวะเส้นประสาทส่วนปลายเสื่อมจากเบาหวานชนิดที่2
1009670,สภาพแวดล้อมการเรียนรู้แบบดื่มด่ำเสมือนจริงด้วยการเล่าเรื่องดิจิทัลเพื่อส่งเสริมการเรียนรู้เชิงลึกของนักศึกษาระดับปริญญาตรี
1009705,การเพิ่มเชาวน์ปัญญาด้านการรู้จักและเข้าใจตนเองของนักเรียนระดับประถมศึกษาด้วยแอพพลิเคชันฝึกการรู้จักและเข้าใจตนเอง: การศึกษาเชิงพฤติกรรมและคลื่นไฟฟ้าสมอง
1009677,การพัฒนารูปแบบการสื่อสารเพื่อสร้างคุณค่าแบรนด์ของสถาบันอุดมศึกษาตามแนวคิดพันธกิจสัมพันธ์
1009646,การวิเคราะห์ความหลากหลายทางพันธุกรรม DNA-A ของเชื้อเบโกโมไวรัสที่เข้าทำลายฟักทองในประเทศไทย
1009679,นิทานพื้นบ้านชาติพันธุ์ม้ง : จินตนาการจากเรื่องเล่าสู่งานศิลปะสื่อผสมอย่างมีส่วนร่วมกับเยาวชนชุมชนม้งในจังหวัดเชียงใหม่
1009706,การพัฒนาโปรแกรมฝึกความจำขณะทำงานตามหลักการวิเคราะห์การเคลื่อนไหวร่างกายแบบลาบานสำหรับเพิ่มความสามารถในการกำกับอารมณ์ของวัยรุ่น: การศึกษาเชิงพฤติกรรมและคลื่นไฟฟ้าสมอง
1009651,ผลของวัสดุปลูกและสภาพโรงเรือนต่อการเจริญเติบโตและผลผลิตของกล้วยไม้สกุลหวาย โซเนีย พันธุ์เอียสกุล ที่ติดเชื้อไวรัส
1009707,การเพิ่มเชาวน์ปัญญาด้านภาษาศาสตร์ของนักเรียนระดับประถมศึกษาด้วยโปรแกรมฝึกความสามารถด้านการใช้ภาษา : การศึกษาเชิงพฤติกรรมและคลื่นไฟฟ้าสมอง
1009653,ผลของระยะการเก็บเกี่ยวและการแช่แข็งต่อคุณสมบัติทางกายภาพเคมีและคุณค่าทางโภชนาการของข้าวฮาง
1009684,การธำรงอัตลักษณ์เชิงซ้อนของชาวจีนตรอกเหล่าโจ้วจังหวัดเชียงใหม่
1009660,การประยุกต์แบบจำลอง CLUE - S และภาพดาวเทียม Landsat เพื่อศึกษาการเปลี่ยนแปลงการใช้ประโยชน์ที่ดิน บริเวณพื้นที่สงวนชีวมณฑลสะแกราช จังหวัดนครราชสีมา
1009686,การศึกษาพัฒนาการคุณภาพการศึกษาผ่านโมเดลโค้งพัฒนาการของผลการประเมินคุณภาพภายนอก เพื่อพัฒนาข้อเสนอเชิงนโยบายการประกันคุณภาพภายในของสถานศึกษา ระดับการศึกษาขั้นพื้นฐาน
1009702,การศึกษาหมุดควอนตัมกราฟีนที่มีหมู่ฟังก์ชันเพื่อการประยุกต์ใช้เป็นแก๊สเซ็นเซอร์
1009704,การพัฒนากรอบการประเมินการจัดการท่องเที่ยวเชิงนิเวศอย่างยั่งยืนในเขตลุ่มแม่น้ำบางปะกง
1009708,การพัฒนาวิธีการให้คะแนนผังงานสำหรับการประเมินผลการเรียนรู้ของนักเรียน
1009709,การส่งเสริมอารมณ์ด้านบวกของวัยรุ่นด้วยผลงานศิลปะสร้างสรรค์ประเภทจิตรกรรมที่บูรณาการแนวคิดตะวันออกกับตะวันตก : การศึกษาคลื่นไฟฟ้าสมอง
1009711,อิทธิพลของปัจจัยด้านการออกแบบป้ายฉลากบรรจุภัณฑ์ต่อการตัดสินใจซื้อของผู้บริโภค: การศึกษาคลื่นไฟฟ้าสมองสัมพันธ์กับเหตุการณ์&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
1009718,การศึกษาตัวเร่งทางเคมีไฟฟ้าของสารประกอบทังสเตนที่ฝังตัวในรูพรุนระดับนาโนของคาร์บอนที่มีโครงสร้างเป็นโพรงตามลำดับชั้นซึ่งถูกเจือด้วยไนโตรเจนเพื่อประยุกต์ใช้เป็นขั้วเคาน์เตอร์ อิเล็กโทรดที่ปราศจากโลหะในเซลล์แสงอาทิตย์ชนิดย้อมสีไวแสง
1009722,การตรวจวิเคราะห์โลหะอะมัลกัมด้วยเทคนิคทางนิวเคลียร์และอื่น ๆ
1009720,ผลิตรีคอมบิแนนท์โปรตีน 26SK และผลของโปรตีน 26SK ต่อการเจริญของเซลล์มะเร็ง
1009723,การเปรียบเทียบผลการเพิ่มความจำขณะคิดและการควบคุมอารมณ์ด้วยตนเองของนักเรียนระดับมัธยมศึกษาตอนต้นระหว่างการฟังเพลงไทยลูกทุ่งที่มีเนื้อร้อง กับไม่มีเนื้อร้อง
1009724,การพัฒนาตัวชี้วัดคุณลักษณะอันพึงประสงค์ของนักศึกษาอาชีวศึกษาสู่การเป็นแรงงานในเขตพัฒนาพิเศษภาคตะวันออก
1009727,ผลของการเล่นเกมปริศนาเพนโทมิโนต่อการเพิ่มความสามารถด้านมิติสัมพันธ์ในนักเรียนชั้นมัธยมศึกษาตอนต้น
